Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1385,2019-01-21,BRK,,SAC,W 123-94,240,45,90,0.5,32,55,0.582,13,35,0.371,20,24,0.833,123,39,93,0.419,29,68,0.426,10,25,0.4,6,11,0.545,94
1386,2019-01-21,SAC,@,BRK,L 94-123,240,39,93,0.419,29,68,0.426,10,25,0.4,6,11,0.545,94,45,90,0.5,32,55,0.582,13,35,0.371,20,24,0.833,123
1387,2019-01-21,CHI,@,CLE,W 104-88,240,36,76,0.474,21,46,0.457,15,30,0.5,17,22,0.773,104,31,87,0.356,25,60,0.417,6,27,0.222,20,29,0.69,88
1388,2019-01-21,CLE,,CHI,L 88-104,240,31,87,0.356,25,60,0.417,6,27,0.222,20,29,0.69,88,36,76,0.474,21,46,0.457,15,30,0.5,17,22,0.773,104
1389,2019-01-21,GSW,@,LAL,W 130-111,240,50,98,0.51,34,61,0.557,16,37,0.432,14,19,0.737,130,42,84,0.5,37,64,0.578,5,20,0.25,22,38,0.579,111
1390,2019-01-21,LAL,,GSW,L 111-130,240,42,84,0.5,37,64,0.578,5,20,0.25,22,38,0.579,111,50,98,0.51,34,61,0.557,16,37,0.432,14,19,0.737,130
1391,2019-01-21,MEM,,NOP,L 85-105,240,33,88,0.375,24,53,0.453,9,35,0.257,10,17,0.588,85,39,74,0.527,30,48,0.625,9,26,0.346,18,26,0.692,105
1392,2019-01-21,NOP,@,MEM,W 105-85,240,39,74,0.527,30,48,0.625,9,26,0.346,18,26,0.692,105,33,88,0.375,24,53,0.453,9,35,0.257,10,17,0.588,85
1393,2019-01-21,DAL,@,MIL,L 106-116,240,41,99,0.414,27,59,0.458,14,40,0.35,10,17,0.588,106,42,91,0.462,30,59,0.508,12,32,0.375,20,22,0.909,116
1394,2019-01-21,MIL,,DAL,W 116-106,240,42,91,0.462,30,59,0.508,12,32,0.375,20,22,0.909,116,41,99,0.414,27,59,0.458,14,40,0.35,10,17,0.588,106
1395,2019-01-21,NYK,,OKC,L 109-127,240,39,87,0.448,32,64,0.5,7,23,0.304,24,32,0.75,109,45,83,0.542,30,54,0.556,15,29,0.517,22,27,0.815,127
1396,2019-01-21,OKC,@,NYK,W 127-109,240,45,83,0.542,30,54,0.556,15,29,0.517,22,27,0.815,127,39,87,0.448,32,64,0.5,7,23,0.304,24,32,0.75,109
1397,2019-01-21,HOU,@,PHI,L 93-121,240,31,86,0.36,20,44,0.455,11,42,0.262,20,26,0.769,93,43,88,0.489,35,65,0.538,8,23,0.348,27,33,0.818,121
1398,2019-01-21,PHI,,HOU,W 121-93,240,43,88,0.489,35,65,0.538,8,23,0.348,27,33,0.818,121,31,86,0.36,20,44,0.455,11,42,0.262,20,26,0.769,93
1399,2019-01-21,POR,@,UTA,W 109-104,240,45,90,0.5,37,72,0.514,8,18,0.444,11,15,0.733,109,36,91,0.396,29,58,0.5,7,33,0.212,25,31,0.806,104
1400,2019-01-21,UTA,,POR,L 104-109,240,36,91,0.396,29,58,0.5,7,33,0.212,25,31,0.806,104,45,90,0.5,37,72,0.514,8,18,0.444,11,15,0.733,109
1401,2019-01-21,DET,@,WAS,L 87-101,240,31,77,0.403,20,43,0.465,11,34,0.324,14,18,0.778,87,36,79,0.456,28,56,0.5,8,23,0.348,21,27,0.778,101
1402,2019-01-21,WAS,,DET,W 101-87,240,36,79,0.456,28,56,0.5,8,23,0.348,21,27,0.778,101,31,77,0.403,20,43,0.465,11,34,0.324,14,18,0.778,87
1403,2019-01-22,DAL,,LAC,W 106-98,240,38,81,0.469,28,47,0.596,10,34,0.294,20,29,0.69,106,33,91,0.363,23,55,0.418,10,36,0.278,22,29,0.759,98
1404,2019-01-22,LAC,@,DAL,L 98-106,240,33,91,0.363,23,55,0.418,10,36,0.278,22,29,0.759,98,38,81,0.469,28,47,0.596,10,34,0.294,20,29,0.69,106
1405,2019-01-22,OKC,,POR,W 123-114,240,43,85,0.506,32,62,0.516,11,23,0.478,26,33,0.788,123,43,95,0.453,33,59,0.559,10,36,0.278,18,22,0.818,114
1406,2019-01-22,POR,@,OKC,L 114-123,240,43,95,0.453,33,59,0.559,10,36,0.278,18,22,0.818,114,43,85,0.506,32,62,0.516,11,23,0.478,26,33,0.788,123
1407,2019-01-22,MIN,@,PHO,W 118-91,240,45,103,0.437,30,61,0.492,15,42,0.357,13,19,0.684,118,37,87,0.425,30,53,0.566,7,34,0.206,10,18,0.556,91
1408,2019-01-22,PHO,,MIN,L 91-118,240,37,87,0.425,30,53,0.566,7,34,0.206,10,18,0.556,91,45,103,0.437,30,61,0.492,15,42,0.357,13,19,0.684,118
1409,2019-01-22,SAC,@,TOR,L 105-120,240,41,91,0.451,34,70,0.486,7,21,0.333,16,22,0.727,105,40,91,0.44,24,51,0.471,16,40,0.4,24,35,0.686,120
1410,2019-01-22,TOR,,SAC,W 120-105,240,40,91,0.44,24,51,0.471,16,40,0.4,24,35,0.686,120,41,91,0.451,34,70,0.486,7,21,0.333,16,22,0.727,105
1411,2019-01-23,BOS,,CLE,W 123-103,240,45,86,0.523,33,61,0.541,12,25,0.48,21,23,0.913,123,38,87,0.437,25,57,0.439,13,30,0.433,14,20,0.7,103
1412,2019-01-23,CLE,@,BOS,L 103-123,240,38,87,0.437,25,57,0.439,13,30,0.433,14,20,0.7,103,45,86,0.523,33,61,0.541,12,25,0.48,21,23,0.913,123
1413,2019-01-23,BRK,,ORL,W 114-110,240,43,90,0.478,33,58,0.569,10,32,0.313,18,23,0.783,114,38,89,0.427,27,55,0.491,11,34,0.324,23,28,0.821,110
1414,2019-01-23,ORL,@,BRK,L 110-114,240,38,89,0.427,27,55,0.491,11,34,0.324,23,28,0.821,110,43,90,0.478,33,58,0.569,10,32,0.313,18,23,0.783,114
1415,2019-01-23,ATL,@,CHI,W 121-101,240,45,90,0.5,30,50,0.6,15,40,0.375,16,21,0.762,121,35,79,0.443,27,53,0.509,8,26,0.308,23,27,0.852,101
1416,2019-01-23,CHI,,ATL,L 101-121,240,35,79,0.443,27,53,0.509,8,26,0.308,23,27,0.852,101,45,90,0.5,30,50,0.6,15,40,0.375,16,21,0.762,121
1417,2019-01-23,IND,,TOR,W 110-106,240,40,92,0.435,31,66,0.47,9,26,0.346,21,25,0.84,110,38,92,0.413,26,53,0.491,12,39,0.308,18,23,0.783,106
1418,2019-01-23,TOR,@,IND,L 106-110,240,38,92,0.413,26,53,0.491,12,39,0.308,18,23,0.783,106,40,92,0.435,31,66,0.47,9,26,0.346,21,25,0.84,110
1419,2019-01-23,CHO,@,MEM,W 118-107,240,41,77,0.532,29,47,0.617,12,30,0.4,24,31,0.774,118,38,81,0.469,29,50,0.58,9,31,0.29,22,24,0.917,107
1420,2019-01-23,MEM,,CHO,L 107-118,240,38,81,0.469,29,50,0.58,9,31,0.29,22,24,0.917,107,41,77,0.532,29,47,0.617,12,30,0.4,24,31,0.774,118
1421,2019-01-23,LAC,@,MIA,W 111-99,240,45,85,0.529,38,63,0.603,7,22,0.318,14,21,0.667,111,39,83,0.47,31,55,0.564,8,28,0.286,13,22,0.591,99
1422,2019-01-23,MIA,,LAC,L 99-111,240,39,83,0.47,31,55,0.564,8,28,0.286,13,22,0.591,99,45,85,0.529,38,63,0.603,7,22,0.318,14,21,0.667,111
1423,2019-01-23,DET,@,NOP,W 98-94,240,36,89,0.404,23,50,0.46,13,39,0.333,13,19,0.684,98,42,91,0.462,36,69,0.522,6,22,0.273,4,9,0.444,94
1424,2019-01-23,NOP,,DET,L 94-98,240,42,91,0.462,36,69,0.522,6,22,0.273,4,9,0.444,94,36,89,0.404,23,50,0.46,13,39,0.333,13,19,0.684,98
1425,2019-01-23,HOU,@,NYK,W 114-110,240,37,90,0.411,26,46,0.565,11,44,0.25,29,38,0.763,114,37,81,0.457,26,51,0.51,11,30,0.367,25,30,0.833,110
1426,2019-01-23,NYK,,HOU,L 110-114,240,37,81,0.457,26,51,0.51,11,30,0.367,25,30,0.833,110,37,90,0.411,26,46,0.565,11,44,0.25,29,38,0.763,114
1427,2019-01-23,PHI,,SAS,W 122-120,240,47,93,0.505,30,57,0.526,17,36,0.472,11,14,0.786,122,47,82,0.573,34,55,0.618,13,27,0.481,13,15,0.867,120
1428,2019-01-23,SAS,@,PHI,L 120-122,240,47,82,0.573,34,55,0.618,13,27,0.481,13,15,0.867,120,47,93,0.505,30,57,0.526,17,36,0.472,11,14,0.786,122
1429,2019-01-23,DEN,@,UTA,L 108-114,240,42,88,0.477,34,61,0.557,8,27,0.296,16,20,0.8,108,38,88,0.432,19,42,0.452,19,46,0.413,19,27,0.704,114
1430,2019-01-23,UTA,,DEN,W 114-108,240,38,88,0.432,19,42,0.452,19,46,0.413,19,27,0.704,114,42,88,0.477,34,61,0.557,8,27,0.296,16,20,0.8,108
1431,2019-01-24,LAL,,MIN,L 105-120,240,44,87,0.506,36,59,0.61,8,28,0.286,9,14,0.643,105,44,102,0.431,34,69,0.493,10,33,0.303,22,25,0.88,120
1432,2019-01-24,MIN,@,LAL,W 120-105,240,44,102,0.431,34,69,0.493,10,33,0.303,22,25,0.88,120,44,87,0.506,36,59,0.61,8,28,0.286,9,14,0.643,105
1433,2019-01-24,NOP,@,OKC,L 116-122,240,49,101,0.485,39,65,0.6,10,36,0.278,8,12,0.667,116,50,101,0.495,36,69,0.522,14,32,0.438,8,16,0.5,122
1434,2019-01-24,OKC,,NOP,W 122-116,240,50,101,0.495,36,69,0.522,14,32,0.438,8,16,0.5,122,49,101,0.485,39,65,0.6,10,36,0.278,8,12,0.667,116
1435,2019-01-24,PHO,,POR,L 106-120,240,36,88,0.409,23,50,0.46,13,38,0.342,21,27,0.778,106,44,94,0.468,32,68,0.471,12,26,0.462,20,20,1,120
1436,2019-01-24,POR,@,PHO,W 120-106,240,44,94,0.468,32,68,0.471,12,26,0.462,20,20,1,120,36,88,0.409,23,50,0.46,13,38,0.342,21,27,0.778,106
1437,2019-01-24,GSW,@,WAS,W 126-118,240,50,88,0.568,43,68,0.632,7,20,0.35,19,21,0.905,126,44,95,0.463,29,53,0.547,15,42,0.357,15,21,0.714,118
1438,2019-01-24,WAS,,GSW,L 118-126,240,44,95,0.463,29,53,0.547,15,42,0.357,15,21,0.714,118,50,88,0.568,43,68,0.632,7,20,0.35,19,21,0.905,126
1439,2019-01-25,BRK,,NYK,W 109-99,240,34,84,0.405,25,51,0.49,9,33,0.273,32,47,0.681,109,37,87,0.425,29,56,0.518,8,31,0.258,17,26,0.654,99
1440,2019-01-25,NYK,@,BRK,L 99-109,240,37,87,0.425,29,56,0.518,8,31,0.258,17,26,0.654,99,34,84,0.405,25,51,0.49,9,33,0.273,32,47,0.681,109
1441,2019-01-25,CHI,,LAC,L 101-106,240,40,102,0.392,30,67,0.448,10,35,0.286,11,12,0.917,101,38,82,0.463,30,61,0.492,8,21,0.381,22,29,0.759,106
1442,2019-01-25,LAC,@,CHI,W 106-101,240,38,82,0.463,30,61,0.492,8,21,0.381,22,29,0.759,106,40,102,0.392,30,67,0.448,10,35,0.286,11,12,0.917,101
1443,2019-01-25,CLE,,MIA,L 94-100,240,37,85,0.435,27,55,0.491,10,30,0.333,10,13,0.769,94,37,79,0.468,28,56,0.5,9,23,0.391,17,25,0.68,100
1444,2019-01-25,MIA,@,CLE,W 100-94,240,37,79,0.468,28,56,0.5,9,23,0.391,17,25,0.68,100,37,85,0.435,27,55,0.491,10,30,0.333,10,13,0.769,94
1445,2019-01-25,DAL,,DET,W 106-101,240,37,81,0.457,23,45,0.511,14,36,0.389,18,30,0.6,106,35,85,0.412,23,47,0.489,12,38,0.316,19,25,0.76,101
1446,2019-01-25,DET,@,DAL,L 101-106,240,35,85,0.412,23,47,0.489,12,38,0.316,19,25,0.76,101,37,81,0.457,23,45,0.511,14,36,0.389,18,30,0.6,106
1447,2019-01-25,DEN,,PHO,W 132-95,240,47,94,0.5,32,58,0.552,15,36,0.417,23,29,0.793,132,32,76,0.421,25,46,0.543,7,30,0.233,24,26,0.923,95
1448,2019-01-25,PHO,@,DEN,L 95-132,240,32,76,0.421,25,46,0.543,7,30,0.233,24,26,0.923,95,47,94,0.5,32,58,0.552,15,36,0.417,23,29,0.793,132
1449,2019-01-25,HOU,,TOR,W 121-119,240,41,91,0.451,31,45,0.689,10,46,0.217,29,33,0.879,121,44,91,0.484,30,55,0.545,14,36,0.389,17,18,0.944,119
1450,2019-01-25,TOR,@,HOU,L 119-121,240,44,91,0.484,30,55,0.545,14,36,0.389,17,18,0.944,119,41,91,0.451,31,45,0.689,10,46,0.217,29,33,0.879,121
1451,2019-01-25,MEM,,SAC,L 96-99,240,34,80,0.425,28,60,0.467,6,20,0.3,22,27,0.815,96,37,91,0.407,25,58,0.431,12,33,0.364,13,17,0.765,99
1452,2019-01-25,SAC,@,MEM,W 99-96,240,37,91,0.407,25,58,0.431,12,33,0.364,13,17,0.765,99,34,80,0.425,28,60,0.467,6,20,0.3,22,27,0.815,96
1453,2019-01-25,CHO,@,MIL,L 99-108,240,36,90,0.4,26,51,0.51,10,39,0.256,17,25,0.68,99,41,89,0.461,35,58,0.603,6,31,0.194,20,23,0.87,108
1454,2019-01-25,MIL,,CHO,W 108-99,240,41,89,0.461,35,58,0.603,6,31,0.194,20,23,0.87,108,36,90,0.4,26,51,0.51,10,39,0.256,17,25,0.68,99
1455,2019-01-25,ORL,,WAS,L 91-95,240,38,84,0.452,31,51,0.608,7,33,0.212,8,12,0.667,91,35,79,0.443,20,52,0.385,15,27,0.556,10,12,0.833,95
1456,2019-01-25,WAS,@,ORL,W 95-91,240,35,79,0.443,20,52,0.385,15,27,0.556,10,12,0.833,95,38,84,0.452,31,51,0.608,7,33,0.212,8,12,0.667,91
1457,2019-01-25,MIN,@,UTA,L 102-106,240,38,90,0.422,30,64,0.469,8,26,0.308,18,21,0.857,102,37,94,0.394,24,54,0.444,13,40,0.325,19,25,0.76,106
1458,2019-01-25,UTA,,MIN,W 106-102,240,37,94,0.394,24,54,0.444,13,40,0.325,19,25,0.76,106,38,90,0.422,30,64,0.469,8,26,0.308,18,21,0.857,102
1459,2019-01-26,BOS,,GSW,L 111-115,240,41,99,0.414,26,59,0.441,15,40,0.375,14,15,0.933,111,37,83,0.446,25,50,0.5,12,33,0.364,29,34,0.853,115
1460,2019-01-26,GSW,@,BOS,W 115-111,240,37,83,0.446,25,50,0.5,12,33,0.364,29,34,0.853,115,41,99,0.414,26,59,0.441,15,40,0.375,14,15,0.933,111
1461,2019-01-26,DEN,,PHI,W 126-110,240,48,94,0.511,40,70,0.571,8,24,0.333,22,29,0.759,126,38,91,0.418,24,55,0.436,14,36,0.389,20,27,0.741,110
1462,2019-01-26,PHI,@,DEN,L 110-126,240,38,91,0.418,24,55,0.436,14,36,0.389,20,27,0.741,110,48,94,0.511,40,70,0.571,8,24,0.333,22,29,0.759,126
1463,2019-01-26,IND,@,MEM,L 103-106,240,32,74,0.432,23,47,0.489,9,27,0.333,30,36,0.833,103,39,80,0.488,30,52,0.577,9,28,0.321,19,28,0.679,106
1464,2019-01-26,MEM,,IND,W 106-103,240,39,80,0.488,30,52,0.577,9,28,0.321,19,28,0.679,106,32,74,0.432,23,47,0.489,9,27,0.333,30,36,0.833,103
1465,2019-01-26,NOP,,SAS,L 114-126,240,45,96,0.469,38,69,0.551,7,27,0.259,17,24,0.708,114,47,91,0.516,36,67,0.537,11,24,0.458,21,25,0.84,126
1466,2019-01-26,SAS,@,NOP,W 126-114,240,47,91,0.516,36,67,0.537,11,24,0.458,21,25,0.84,126,45,96,0.469,38,69,0.551,7,27,0.259,17,24,0.708,114
1467,2019-01-26,ATL,@,POR,L 111-120,240,42,92,0.457,30,59,0.508,12,33,0.364,15,20,0.75,111,41,82,0.5,30,52,0.577,11,30,0.367,27,30,0.9,120
1468,2019-01-26,POR,,ATL,W 120-111,240,41,82,0.5,30,52,0.577,11,30,0.367,27,30,0.9,120,42,92,0.457,30,59,0.508,12,33,0.364,15,20,0.75,111
1469,2019-01-27,CHI,,CLE,L 101-104,240,39,88,0.443,30,62,0.484,9,26,0.346,14,17,0.824,101,39,92,0.424,26,58,0.448,13,34,0.382,13,15,0.867,104
1470,2019-01-27,CLE,@,CHI,W 104-101,240,39,92,0.424,26,58,0.448,13,34,0.382,13,15,0.867,104,39,88,0.443,30,62,0.484,9,26,0.346,14,17,0.824,101
1471,2019-01-27,DAL,,TOR,L 120-123,240,43,88,0.489,32,52,0.615,11,36,0.306,23,34,0.676,120,37,83,0.446,20,49,0.408,17,34,0.5,32,38,0.842,123
1472,2019-01-27,TOR,@,DAL,W 123-120,240,37,83,0.446,20,49,0.408,17,34,0.5,32,38,0.842,123,43,88,0.489,32,52,0.615,11,36,0.306,23,34,0.676,120
1473,2019-01-27,HOU,,ORL,W 103-98,240,38,80,0.475,26,44,0.591,12,36,0.333,15,21,0.714,103,39,97,0.402,29,62,0.468,10,35,0.286,10,17,0.588,98
1474,2019-01-27,ORL,@,HOU,L 98-103,240,39,97,0.402,29,62,0.468,10,35,0.286,10,17,0.588,98,38,80,0.475,26,44,0.591,12,36,0.333,15,21,0.714,103
1475,2019-01-27,LAC,,SAC,W 122-108,240,42,88,0.477,31,59,0.525,11,29,0.379,27,29,0.931,122,37,93,0.398,29,57,0.509,8,36,0.222,26,30,0.867,108
1476,2019-01-27,SAC,@,LAC,L 108-122,240,37,93,0.398,29,57,0.509,8,36,0.222,26,30,0.867,108,42,88,0.477,31,59,0.525,11,29,0.379,27,29,0.931,122
1477,2019-01-27,LAL,,PHO,W 116-102,240,47,89,0.528,37,66,0.561,10,23,0.435,12,18,0.667,116,34,85,0.4,27,59,0.458,7,26,0.269,27,32,0.844,102
1478,2019-01-27,PHO,@,LAL,L 102-116,240,34,85,0.4,27,59,0.458,7,26,0.269,27,32,0.844,102,47,89,0.528,37,66,0.561,10,23,0.435,12,18,0.667,116
1479,2019-01-27,MIN,,UTA,L 111-125,240,37,77,0.481,20,41,0.488,17,36,0.472,20,23,0.87,111,46,86,0.535,31,47,0.66,15,39,0.385,18,25,0.72,125
1480,2019-01-27,UTA,@,MIN,W 125-111,240,46,86,0.535,31,47,0.66,15,39,0.385,18,25,0.72,125,37,77,0.481,20,41,0.488,17,36,0.472,20,23,0.87,111
1481,2019-01-27,MIA,@,NYK,W 106-97,240,39,84,0.464,27,51,0.529,12,33,0.364,16,18,0.889,106,36,84,0.429,29,58,0.5,7,26,0.269,18,24,0.75,97
1482,2019-01-27,NYK,,MIA,L 97-106,240,36,84,0.429,29,58,0.5,7,26,0.269,18,24,0.75,97,39,84,0.464,27,51,0.529,12,33,0.364,16,18,0.889,106
1483,2019-01-27,MIL,@,OKC,L 112-118,240,39,91,0.429,24,54,0.444,15,37,0.405,19,28,0.679,112,44,94,0.468,28,62,0.452,16,32,0.5,14,25,0.56,118
1484,2019-01-27,OKC,,MIL,W 118-112,240,44,94,0.468,28,62,0.452,16,32,0.5,14,25,0.56,118,39,91,0.429,24,54,0.444,15,37,0.405,19,28,0.679,112
1485,2019-01-27,SAS,,WAS,W 132-119,240,49,86,0.57,33,52,0.635,16,34,0.471,18,21,0.857,132,40,89,0.449,22,43,0.512,18,46,0.391,21,29,0.724,119
1486,2019-01-27,WAS,@,SAS,L 119-132,240,40,89,0.449,22,43,0.512,18,46,0.391,21,29,0.724,119,49,86,0.57,33,52,0.635,16,34,0.471,18,21,0.857,132
1487,2019-01-28,BOS,,BRK,W 112-104,240,45,100,0.45,32,60,0.533,13,40,0.325,9,10,0.9,112,39,103,0.379,26,69,0.377,13,34,0.382,13,16,0.813,104
1488,2019-01-28,BRK,@,BOS,L 104-112,240,39,103,0.379,26,69,0.377,13,34,0.382,13,16,0.813,104,45,100,0.45,32,60,0.533,13,40,0.325,9,10,0.9,112
1489,2019-01-28,CHO,,NYK,W 101-92,240,39,94,0.415,28,60,0.467,11,34,0.324,12,16,0.75,101,34,85,0.4,27,62,0.435,7,23,0.304,17,26,0.654,92
1490,2019-01-28,NYK,@,CHO,L 92-101,240,34,85,0.4,27,62,0.435,7,23,0.304,17,26,0.654,92,39,94,0.415,28,60,0.467,11,34,0.324,12,16,0.75,101
1491,2019-01-28,GSW,@,IND,W 132-100,240,53,98,0.541,40,67,0.597,13,31,0.419,13,16,0.813,132,40,94,0.426,28,64,0.438,12,30,0.4,8,10,0.8,100
1492,2019-01-28,IND,,GSW,L 100-132,240,40,94,0.426,28,64,0.438,12,30,0.4,8,10,0.8,100,53,98,0.541,40,67,0.597,13,31,0.419,13,16,0.813,132
1493,2019-01-28,ATL,@,LAC,W 123-118,240,44,87,0.506,34,53,0.642,10,34,0.294,25,29,0.862,123,41,85,0.482,31,58,0.534,10,27,0.37,26,28,0.929,118
1494,2019-01-28,LAC,,ATL,L 118-123,240,41,85,0.482,31,58,0.534,10,27,0.37,26,28,0.929,118,44,87,0.506,34,53,0.642,10,34,0.294,25,29,0.862,123
1495,2019-01-28,DEN,@,MEM,W 95-92,240,37,84,0.44,29,48,0.604,8,36,0.222,13,14,0.929,95,35,78,0.449,26,46,0.565,9,32,0.281,13,19,0.684,92
1496,2019-01-28,MEM,,DEN,L 92-95,240,35,78,0.449,26,46,0.565,9,32,0.281,13,19,0.684,92,37,84,0.44,29,48,0.604,8,36,0.222,13,14,0.929,95
1497,2019-01-29,BRK,,CHI,W 122-117,240,42,94,0.447,32,59,0.542,10,35,0.286,28,40,0.7,122,47,94,0.5,38,66,0.576,9,28,0.321,14,19,0.737,117
1498,2019-01-29,CHI,@,BRK,L 117-122,240,47,94,0.5,38,66,0.576,9,28,0.321,14,19,0.737,117,42,94,0.447,32,59,0.542,10,35,0.286,28,40,0.7,122
1499,2019-01-29,CLE,,WAS,W 116-113,240,45,84,0.536,30,50,0.6,15,34,0.441,11,24,0.458,116,42,87,0.483,30,51,0.588,12,36,0.333,17,23,0.739,113
1500,2019-01-29,WAS,@,CLE,L 113-116,240,42,87,0.483,30,51,0.588,12,36,0.333,17,23,0.739,113,45,84,0.536,30,50,0.6,15,34,0.441,11,24,0.458,116
1501,2019-01-29,DET,,MIL,L 105-115,240,42,89,0.472,30,52,0.577,12,37,0.324,9,12,0.75,105,47,87,0.54,34,55,0.618,13,32,0.406,8,10,0.8,115
1502,2019-01-29,MIL,@,DET,W 115-105,240,47,87,0.54,34,55,0.618,13,32,0.406,8,10,0.8,115,42,89,0.472,30,52,0.577,12,37,0.324,9,12,0.75,105
1503,2019-01-29,HOU,,NOP,L 116-121,240,40,101,0.396,21,45,0.467,19,56,0.339,17,24,0.708,116,46,90,0.511,37,59,0.627,9,31,0.29,20,25,0.8,121
1504,2019-01-29,NOP,@,HOU,W 121-116,240,46,90,0.511,37,59,0.627,9,31,0.29,20,25,0.8,121,40,101,0.396,21,45,0.467,19,56,0.339,17,24,0.708,116
1505,2019-01-29,LAL,,PHI,L 105-121,240,43,92,0.467,36,69,0.522,7,23,0.304,12,16,0.75,105,42,93,0.452,27,57,0.474,15,36,0.417,22,28,0.786,121
1506,2019-01-29,PHI,@,LAL,W 121-105,240,42,93,0.452,27,57,0.474,15,36,0.417,22,28,0.786,121,43,92,0.467,36,69,0.522,7,23,0.304,12,16,0.75,105
1507,2019-01-29,OKC,@,ORL,W 126-117,240,49,91,0.538,40,70,0.571,9,21,0.429,19,26,0.731,126,44,102,0.431,30,61,0.492,14,41,0.341,15,18,0.833,117
1508,2019-01-29,ORL,,OKC,L 117-126,240,44,102,0.431,30,61,0.492,14,41,0.341,15,18,0.833,117,49,91,0.538,40,70,0.571,9,21,0.429,19,26,0.731,126
1509,2019-01-29,PHO,@,SAS,L 124-126,240,48,80,0.6,35,51,0.686,13,29,0.448,15,19,0.789,124,47,100,0.47,32,66,0.485,15,34,0.441,17,20,0.85,126
1510,2019-01-29,SAS,,PHO,W 126-124,240,47,100,0.47,32,66,0.485,15,34,0.441,17,20,0.85,126,48,80,0.6,35,51,0.686,13,29,0.448,15,19,0.789,124
1511,2019-01-30,BOS,,CHO,W 126-94,240,50,90,0.556,38,61,0.623,12,29,0.414,14,16,0.875,126,39,89,0.438,26,49,0.531,13,40,0.325,3,7,0.429,94
1512,2019-01-30,CHO,@,BOS,L 94-126,240,39,89,0.438,26,49,0.531,13,40,0.325,3,7,0.429,94,50,90,0.556,38,61,0.623,12,29,0.414,14,16,0.875,126
1513,2019-01-30,CHI,@,MIA,W 105-89,240,40,78,0.513,32,59,0.542,8,19,0.421,17,21,0.81,105,34,89,0.382,22,47,0.468,12,42,0.286,9,13,0.692,89
1514,2019-01-30,MIA,,CHI,L 89-105,240,34,89,0.382,22,47,0.468,12,42,0.286,9,13,0.692,89,40,78,0.513,32,59,0.542,8,19,0.421,17,21,0.81,105
1515,2019-01-30,MEM,@,MIN,L 97-99 (OT),265,36,87,0.414,30,64,0.469,6,23,0.261,19,22,0.864,97,37,95,0.389,29,60,0.483,8,35,0.229,17,22,0.773,99
1516,2019-01-30,MIN,,MEM,W 99-97 (OT),265,37,95,0.389,29,60,0.483,8,35,0.229,17,22,0.773,99,36,87,0.414,30,64,0.469,6,23,0.261,19,22,0.864,97
1517,2019-01-30,DEN,@,NOP,W 105-99,240,42,89,0.472,33,59,0.559,9,30,0.3,12,19,0.632,105,37,89,0.416,22,53,0.415,15,36,0.417,10,13,0.769,99
1518,2019-01-30,NOP,,DEN,L 99-105,240,37,89,0.416,22,53,0.415,15,36,0.417,10,13,0.769,99,42,89,0.472,33,59,0.559,9,30,0.3,12,19,0.632,105
1519,2019-01-30,DAL,@,NYK,W 114-90,240,45,84,0.536,30,46,0.652,15,38,0.395,9,11,0.818,114,32,78,0.41,26,52,0.5,6,26,0.231,20,28,0.714,90
1520,2019-01-30,NYK,,DAL,L 90-114,240,32,78,0.41,26,52,0.5,6,26,0.231,20,28,0.714,90,45,84,0.536,30,46,0.652,15,38,0.395,9,11,0.818,114
1521,2019-01-30,POR,,UTA,W 132-105,240,48,90,0.533,32,58,0.552,16,32,0.5,20,23,0.87,132,38,85,0.447,27,51,0.529,11,34,0.324,18,21,0.857,105
1522,2019-01-30,UTA,@,POR,L 105-132,240,38,85,0.447,27,51,0.529,11,34,0.324,18,21,0.857,105,48,90,0.533,32,58,0.552,16,32,0.5,20,23,0.87,132
1523,2019-01-30,ATL,@,SAC,L 113-135,240,38,86,0.442,22,40,0.55,16,46,0.348,21,25,0.84,113,54,99,0.545,43,64,0.672,11,35,0.314,16,21,0.762,135
1524,2019-01-30,SAC,,ATL,W 135-113,240,54,99,0.545,43,64,0.672,11,35,0.314,16,21,0.762,135,38,86,0.442,22,40,0.55,16,46,0.348,21,25,0.84,113
1525,2019-01-30,IND,@,WAS,L 89-107,240,33,84,0.393,24,53,0.453,9,31,0.29,14,18,0.778,89,41,78,0.526,29,50,0.58,12,28,0.429,13,21,0.619,107
1526,2019-01-30,WAS,,IND,W 107-89,240,41,78,0.526,29,50,0.58,12,28,0.429,13,21,0.619,107,33,84,0.393,24,53,0.453,9,31,0.29,14,18,0.778,89
1527,2019-01-31,DAL,@,DET,L 89-93,240,36,88,0.409,29,63,0.46,7,25,0.28,10,14,0.714,89,33,86,0.384,24,53,0.453,9,33,0.273,18,23,0.783,93
1528,2019-01-31,DET,,DAL,W 93-89,240,33,86,0.384,24,53,0.453,9,33,0.273,18,23,0.783,93,36,88,0.409,29,63,0.46,7,25,0.28,10,14,0.714,89
1529,2019-01-31,GSW,,PHI,L 104-113,240,41,88,0.466,30,50,0.6,11,38,0.289,11,16,0.688,104,41,88,0.466,29,51,0.569,12,37,0.324,19,24,0.792,113
